loan_age_months,at_risk,cif_default,cif_prepay,event_free_survival,naive_1_minus_km_default,km_overstatement
75.0,209,0.16872704272642516,0.6305534848219012,0.20071947245167354,0.3377952757573892,0.16906823303096405
76.0,201,0.17072425140753633,0.6315520891624568,0.19772365943000678,0.3443843774911466,0.17366012608361026
77.0,194,0.17072425140753633,0.6346096715247764,0.1946660770676871,0.3443843774911466,0.17366012608361026
78.0,186,0.1717708432197282,0.6346096715247764,0.19361948525549524,0.3479091926659259,0.17613834944619772
79.0,183,0.17282887319380194,0.6356677014988502,0.19150342530734776,0.3514725304109213,0.17864365721711936
80.0,178,0.17390473513373086,0.6378194253787081,0.188275839487561,0.3551159431614218,0.18121120802769095
81.0,170,0.17611974501005512,0.6378194253787081,0.18606082961123677,0.3627028144183466,0.1865830694082915
82.0,166,0.17724059338120715,0.6378194253787081,0.18493998124008473,0.3665419540905257,0.18930136070931855
83.0,162,0.17724059338120715,0.6389610302011777,0.18379837641761507,0.3665419540905257,0.18930136070931855
84.0,158,0.17840387424460977,0.6401243110645803,0.1814718146908098,0.3705511822291936,0.19214730798458382
86.0,149,0.17840387424460977,0.6413422427068005,0.1802538830485896,0.3705511822291936,0.19214730798458382
87.0,147,0.18085630802758376,0.6413422427068005,0.17780144926561559,0.37911511172267387,0.1982588036950901
88.0,141,0.18211731121386474,0.6438642490793625,0.1740184397067727,0.3835185506466269,0.20140123943276214
90.0,134,0.18341595628630333,0.6438642490793625,0.1727197946343341,0.38811915847762213,0.2047032021913188
92.0,131,0.18605289971583516,0.6438642490793625,0.17008285120480227,0.3974608507146048,0.21140795099876963
93.0,125,0.1874135625254736,0.6438642490793625,0.16872218839516384,0.40228116390888813,0.21486760138341454
94.0,121,0.18880796077667328,0.6466530455817618,0.16453899364156474,0.4072209890005505,0.2184130282238772
95.0,117,0.19021427696164392,0.6466530455817618,0.1631326774565941,0.41228747627405027,0.22207319931240635
98.0,111,0.19021427696164392,0.648122709342632,0.1616630136957239,0.41228747627405027,0.22207319931240635
102.0,97,0.19188090596881632,0.648122709342632,0.15999638468855149,0.41834636827122507,0.22646546230240874
103.0,93,0.19188090596881632,0.6498431005758423,0.15827599345534127,0.41834636827122507,0.22646546230240874
108.0,71,0.19188090596881632,0.6520723399202837,0.15604675411089985,0.41834636827122507,0.22646546230240874
111.0,63,0.19435783857375125,0.6520723399202837,0.15356982150596493,0.4275789656002531,0.23322112702650186
113.0,57,0.19705204596859274,0.6520723399202837,0.15087561411112344,0.43762143988796776,0.240569393919375
117.0,45,0.20040483739328438,0.6554251313449753,0.1441700312617402,0.4501187412237907,0.24971390383050632
