group,loan_age_months,survival,cumulative_event_prob,n_loans,events
660-699,81,0.8942094167279788,0.10579058327202118,1791,121
660-699,82,0.8633746092546001,0.13662539074539992,1791,121
660-699,83,0.8633746092546001,0.13662539074539992,1791,121
660-699,84,0.8633746092546001,0.13662539074539992,1791,121
660-699,85,0.8633746092546001,0.13662539074539992,1791,121
660-699,86,0.8633746092546001,0.13662539074539992,1791,121
660-699,87,0.8633746092546001,0.13662539074539992,1791,121
660-699,88,0.8633746092546001,0.13662539074539992,1791,121
660-699,89,0.8633746092546001,0.13662539074539992,1791,121
660-699,90,0.8633746092546001,0.13662539074539992,1791,121
660-699,91,0.8633746092546001,0.13662539074539992,1791,121
660-699,92,0.8633746092546001,0.13662539074539992,1791,121
660-699,93,0.8633746092546001,0.13662539074539992,1791,121
660-699,94,0.8633746092546001,0.13662539074539992,1791,121
660-699,95,0.8633746092546001,0.13662539074539992,1791,121
660-699,96,0.8633746092546001,0.13662539074539992,1791,121
660-699,97,0.8633746092546001,0.13662539074539992,1791,121
660-699,98,0.8633746092546001,0.13662539074539992,1791,121
660-699,99,0.8633746092546001,0.13662539074539992,1791,121
660-699,100,0.8633746092546001,0.13662539074539992,1791,121
660-699,101,0.8633746092546001,0.13662539074539992,1791,121
660-699,102,0.8633746092546001,0.13662539074539992,1791,121
660-699,103,0.8633746092546001,0.13662539074539992,1791,121
660-699,104,0.8633746092546001,0.13662539074539992,1791,121
660-699,105,0.8633746092546001,0.13662539074539992,1791,121
660-699,106,0.8633746092546001,0.13662539074539992,1791,121
660-699,107,0.8633746092546001,0.13662539074539992,1791,121
660-699,108,0.8633746092546001,0.13662539074539992,1791,121
660-699,109,0.8633746092546001,0.13662539074539992,1791,121
660-699,110,0.8633746092546001,0.13662539074539992,1791,121
660-699,111,0.8633746092546001,0.13662539074539992,1791,121
660-699,112,0.8633746092546001,0.13662539074539992,1791,121
660-699,113,0.8633746092546001,0.13662539074539992,1791,121
660-699,114,0.8633746092546001,0.13662539074539992,1791,121
660-699,115,0.8633746092546001,0.13662539074539992,1791,121
660-699,116,0.8633746092546001,0.13662539074539992,1791,121
660-699,117,0.8633746092546001,0.13662539074539992,1791,121
660-699,118,0.8633746092546001,0.13662539074539992,1791,121
660-699,119,0.8633746092546001,0.13662539074539992,1791,121
660-699,120,0.8633746092546001,0.13662539074539992,1791,121
700-739,0,1.0,0.0,3336,156
700-739,1,1.0,0.0,3336,156
700-739,2,1.0,0.0,3336,156
700-739,3,0.9993948562783666,0.0006051437216334499,3336,156
700-739,4,0.9981867633726196,0.0018132366273804212,3336,156
700-739,5,0.996975004024064,0.0030249959759359735,3336,156
700-739,6,0.9963650468481545,0.003634953151845477,3336,156
700-739,7,0.9957513326215786,0.004248667378421445,3336,156
700-739,8,0.9945120652505491,0.005487934749450862,3336,156
700-739,9,0.993572960373069,0.00642703962693103,3336,156
700-739,10,0.9916774316728338,0.008322568327166158,3336,156
700-739,11,0.9891182641072267,0.010881735892773303,3336,156
700-739,12,0.9871730954462479,0.012826904553752128,3336,156
700-739,13,0.9855305445386834,0.014469455461316616,3336,156
700-739,14,0.9818693368419845,0.01813066315801548,3336,156
700-739,15,0.9795098842646093,0.020490115735390724,3336,156
700-739,16,0.9757385826451096,0.024261417354890402,3336,156
700-739,17,0.9733113722405199,0.02668862775948011,3336,156
700-739,18,0.9722564827474851,0.027743517252514893,3336,156
700-739,19,0.9715449887974321,0.02845501120256788,3336,156
700-739,20,0.9701088542981016,0.029891145701898436,3336,156
700-739,21,0.9686587663245619,0.03134123367543806,3336,156
700-739,22,0.966458935666747,0.03354106433325299,3336,156
700-739,23,0.9660875064063065,0.03391249359369353,3336,156
700-739,24,0.9649536008823553,0.03504639911764473,3336,156
700-739,25,0.9634285853139909,0.03657141468600911,3336,156
700-739,26,0.9615009570920745,0.038499042907925496,3336,156
700-739,27,0.9603192680829482,0.03968073191705179,3336,156
700-739,28,0.9599144117304688,0.040085588269531236,3336,156
700-739,29,0.9590836766272838,0.04091632337271622,3336,156
700-739,30,0.957808864474036,0.042191135525963985,3336,156
700-739,31,0.956062631357402,0.04393736864259801,3336,156
700-739,32,0.9547273483527126,0.04527265164728744,3336,156
700-739,33,0.953345021110889,0.046654978889110965,3336,156
700-739,34,0.953345021110889,0.046654978889110965,3336,156
700-739,35,0.9523712264008672,0.04762877359913276,3336,156
700-739,36,0.9513660852648239,0.04863391473517609,3336,156
700-739,37,0.9508495998765154,0.049150400123484594,3336,156
700-739,38,0.9508495998765154,0.049150400123484594,3336,156
700-739,39,0.9508495998765154,0.049150400123484594,3336,156
700-739,40,0.9502922437218398,0.04970775627816015,3336,156
700-739,41,0.9497120897268932,0.05028791027310675,3336,156
700-739,42,0.9491106254522086,0.05088937454779141,3336,156
700-739,43,0.9491106254522086,0.05088937454779141,3336,156
700-739,44,0.9478042102760875,0.05219578972391248,3336,156
700-739,45,0.9471286548874374,0.05287134511256264,3336,156
700-739,46,0.9457439638715204,0.05425603612847962,3336,156
